"id","accommodates","antiguedad","host_response_rate","host_response_time","neighborhood_overview_flag","bathrooms","beds","price","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","property_type","room_type","minimum_nights","maximum_nights","whatcluster_k"
883780138520907008,2,16792,1,1,0,1,1,50,1,8,1,1,"Centro",14,2,1,120,"5"
872918184309485312,4,16975,1,1,0,1,2,150,0,40,1,1,"Centro",1,1,1,365,"4"
883841860161785856,2,16751,1,1,0,1.5,1,51,0,2,1,1,"Centro",2,2,5,365,"5"
873174747358388608,2,17206,1,1,1,1,1,79,1,2,1,1,"Centro",1,1,3,60,"4"
883862279578487424,4,19453,1,2,0,1,2,61,0,2,0,1,"Este",1,1,2,365,"4"
883873455501394048,4,17847,0.95,1,0,1,2,73,0,53,1,1,"Centro",1,1,1,365,"4"
873540173964643200,4,19186,1,1,0,2,3,117,0,694,1,1,"Centro",1,1,1,365,"4"
873668992138360320,6,19174,1,1,0,2,4,105,0,26,1,1,"Este",1,1,4,1125,"4"
883903698061081856,2,16719,1,1,0,1,1,39,1,4,1,1,"Palma-Palmilla",2,2,1,30,"5"
884002463211279488,6,16478,1,1,0,1,3,103,0,4,1,1,"Centro",1,1,1,365,"4"
884494234773846016,4,18243,0.99,1,0,1,2,131,0,91,1,1,"Centro",1,1,1,365,"4"
873739369549579648,6,19443,1,1,0,2,3,120,0,6,1,1,"Carretera de Cadiz",1,1,2,90,"4"
884654122020887296,2,16751,1,1,0,1.5,1,50,0,2,1,1,"Centro",2,2,5,365,"5"
885289405329432064,4,17520,1,1,0,1,2,100,0,53,1,1,"Centro",1,1,1,1125,"4"
885329968501996800,2,19483,1,1,1,1,1,101,0,4,1,1,"Campanillas",40,2,2,28,"5"
885369720496491264,3,17160,1,1,1,1,2,120,0,3,1,1,"Centro",1,1,2,28,"4"
885379055741909120,2,16353,1,1,0,1,1,85,1,37,1,1,"Centro",1,1,2,15,"4"
885889355325643520,4,17274,1,1,0,1,2,139,1,73,1,1,"Centro",1,1,1,1125,"4"
873914314158429184,2,19226,1,1,1,1,1,39,1,3,1,1,"Centro",2,2,3,30,"5"
874043958154771072,2,19467,1,1,1,1,1,28,0,3,1,1,"Centro",5,2,2,365,"5"
885977883581431552,8,18751,0.98,1,0,2,5,163,0,45,1,1,"Centro",1,1,2,31,"4"
886044126185062272,6,19484,1,1,1,2,4,250,0,1,1,1,"Este",1,1,3,365,"4"
886066571959343872,2,19326,0.67,2,1,1,1,51,0,2,1,1,"Ciudad Jardin",3,3,1,365,"5"
886106055962851712,2,15880,1,1,0,1,2,65,0,24,1,1,"Centro",5,2,2,365,"5"
886216353293386624,2,18882,1,1,1,1,1,115,1,8,1,1,"Centro",1,1,3,1125,"4"
874335161334188544,4,16306,1,1,0,1,2,65,1,2,1,1,"Centro",1,1,2,1125,"4"
886299069545327616,4,19484,1,1,1,1,3,78,0,1,1,1,"Centro",1,1,1,1125,"4"
874383266315942400,4,17434,1,1,0,1,2,87,0,81,1,1,"Centro",1,1,1,365,"4"
874406080153392256,2,17315,1,1,0,1,1,113,1,1,1,1,"Cruz De Humilladero",1,1,2,1125,"4"
886435696265504512,5,16028,1,1,1,1,3,153,1,2,1,1,"Centro",1,1,3,1125,"1"
886613145895468800,4,16306,1,1,0,1,2,95,1,2,1,1,"Centro",1,1,2,365,"4"
886670118899631744,2,17430,0.99,1,0,1,1,92,0,36,1,1,"Centro",1,1,1,1125,"4"
874574682931787392,2,16418,1,1,0,0,1,58,0,4,1,1,"Churriana",21,1,2,365,"4"
875068862631799680,4,17770,1,1,1,1,4,134,1,1,1,1,"Centro",1,1,1,90,"4"
886858053843601664,5,19222,1,1,0,1,3,96,0,2,1,1,"Cruz De Humilladero",1,1,3,1125,"4"
886952409740467456,3,18305,0.8,3,0,1,2,110,1,5,1,1,"Este",1,1,3,365,"4"
886955281889611648,4,16497,1,1,1,2,2,106,0,27,1,1,"Centro",1,1,3,365,"4"
875372707840848000,4,17850,1,1,1,1,1,73,0,13,1,1,"Centro",1,1,1,365,"4"
887003900937876096,4,16839,1,1,0,1,1,69,0,10,1,1,"Ciudad Jardin",1,1,2,365,"4"
875427434498802816,3,19327,1,1,1,1,2,111,0,1,1,1,"Centro",1,1,1,1125,"4"
887404641261897984,6,17345,1,1,0,1,4,186,0,708,1,1,"Cruz De Humilladero",1,1,1,1125,"4"
887470378648960384,4,17322,0.86,1,0,1,1,80,0,4,1,1,"Centro",1,1,6,90,"4"
875877755878302720,2,16670,1,1,1,2,1,42,1,7,1,1,"Centro",2,2,3,89,"5"
875891047584346752,2,16670,1,1,1,2,1,41,1,7,1,1,"Centro",2,2,3,89,"5"
887513807883379072,1,14886,1,2,1,1.5,1,47,1,3,1,1,"Ciudad Jardin",2,2,4,21,"5"
887568010462192384,6,16979,0.98,1,0,2,3,129,0,234,1,1,"Este",1,1,1,1125,"4"
887649372698027392,4,18625,0.99,1,1,1,2,84,1,60,1,1,"Centro",1,1,2,365,"4"
876232499730503424,2,19432,0.11,4,0,2,1,38,0,1,1,1,"Bailen-Miraflores",5,2,1,365,"2"
887803318476190336,4,15570,1,1,0,1,3,95,0,52,1,1,"Este",1,1,1,1125,"4"
876481767821022208,6,17451,1,1,1,2,4,129,1,4,1,1,"Carretera de Cadiz",1,1,2,30,"4"
887803790950832640,6,15570,1,1,0,1,4,114,0,52,1,1,"Centro",1,1,1,1125,"4"
876575623160649856,4,19189,1,1,1,1,1,70,1,1,0,1,"Churriana",1,1,1,120,"4"
888177671927140864,4,17487,1,1,1,1,1,71,0,2,1,1,"Centro",1,1,1,1125,"4"
876628619548113280,4,16712,0.9,1,0,1,4,166,0,112,1,1,"Centro",1,1,1,1125,"4"
876696441561216000,5,18167,0.98,1,0,1,4,63,0,61,1,1,"Cruz De Humilladero",1,1,1,365,"4"
876750153918443136,6,19168,1,1,1,2,3,276,0,5,1,1,"Centro",1,1,2,365,"4"
876805296311841792,4,19471,1,1,0,1,2,100,0,1,1,1,"Centro",1,1,2,1125,"4"
888315768186902016,2,15221,1,2,1,1,2,29,1,17,1,1,"Palma-Palmilla",2,2,3,365,"5"
888516964766576256,6,19487,1,1,0,1,5,151,0,1,1,1,"Carretera de Cadiz",1,1,3,1125,"4"
888780044902403968,4,18943,1,2,1,1,2,82,1,2,1,1,"Centro",1,1,2,1125,"4"
877189873916633856,4,17026,1,1,0,1,1,245,0,53,1,1,"Centro",1,1,2,365,"4"
888978484923644544,6,19272,1,1,0,1,4,117,0,649,1,1,"Centro",1,1,1,365,"4"
889013231925160064,2,16409,1,1,0,1,1,28,0,35,1,1,"Carretera de Cadiz",2,2,1,365,"5"
877297635430486656,4,16385,1,1,1,1,2,166,1,27,1,1,"Este",1,1,1,365,"4"
889162863832838144,2,18101,0.99,1,1,1,1,86,1,112,1,1,"Centro",9,1,1,60,"4"
889218323491696128,4,16556,1,1,1,1,3,118,0,2,1,1,"Este",1,1,2,365,"4"
889570699930986752,4,17948,1,1,0,1,2,95,0,55,1,1,"Centro",1,1,4,365,"4"
